battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,touch_screen,wifi,network_2G,network_3G,network_4G,network_5G,price_range,price
1626,1,0.5,1,3,1,56,0.2,164,7,1,1479,845,814,5,8,12,0,1,0,0,1,0,1,12678
1959,1,2.1,1,18,1,14,0.2,210,1,19,533,635,3330,13,17,6,1,1,1,0,0,0,0,3492
1360,0,2.8,0,16,0,41,0.4,162,8,3,370,829,2278,17,3,14,0,0,1,0,0,0,0,8550
1794,0,2.0,0,4,1,42,0.4,188,4,12,1205,1667,358,20,1,11,0,1,1,0,0,0,0,4376
1630,1,2.7,0,6,0,44,0.3,123,7,15,516,1959,1552,13,0,8,0,1,0,0,0,1,3,118410
1595,0,2.3,0,17,1,44,0.6,221,2,5,656,1805,1813,17,11,18,1,0,0,0,1,0,1,19361
1544,1,0.8,0,20,0,56,0.5,211,8,7,1892,635,371,9,12,17,0,1,0,0,0,1,2,30532
621,1,2.8,0,6,1,59,0.1,97,1,15,589,1312,1114,18,13,9,1,1,0,1,0,0,0,6074
966,0,0.7,1,16,1,32,0.4,172,1,12,230,1351,2767,15,4,18,0,0,0,0,1,0,1,18213
1738,1,1.8,0,6,1,17,0.8,117,1,3,808,1924,359,13,2,14,0,0,1,0,0,0,0,2388
830,1,0.9,1,3,0,43,0.7,227,5,1,1371,1370,2562,19,3,12,0,1,0,1,0,0,0,2026
1982,1,0.5,0,7,0,62,0.8,130,7,8,478,1391,1587,14,16,19,0,1,0,1,0,0,0,4554
587,1,1.6,1,12,0,57,0.7,98,8,17,1232,1972,3694,18,18,6,1,0,0,0,1,0,1,16186
1896,0,1.2,1,3,1,45,0.4,199,3,16,674,1134,1184,13,10,7,1,0,1,0,0,0,0,4570
1623,1,1.7,1,5,1,58,0.2,147,5,7,1703,1168,3113,11,7,15,0,1,0,0,0,1,2,30447
1371,1,1.9,0,4,0,7,0.3,145,5,14,277,1793,2945,12,11,13,1,0,0,0,1,0,1,18034
630,1,0.6,0,11,1,29,0.8,220,5,8,1772,1540,1062,5,17,5,1,0,1,0,0,0,0,6116
1832,0,0.8,0,3,0,33,1.0,237,3,16,1711,768,3326,8,17,8,0,1,0,1,0,0,0,2686
1269,1,1.9,0,8,0,45,0.5,177,5,1,52,1360,3629,14,8,12,0,1,0,0,1,0,1,15416
843,0,1.4,1,3,0,11,0.1,237,4,5,1884,981,815,14,4,3,0,0,0,1,0,0,0,6322
1937,0,2.3,0,18,0,51,0.2,167,1,4,1033,1742,2330,19,20,5,0,0,1,0,0,0,0,4973
1305,1,2.1,1,13,1,19,0.4,112,8,16,1681,1842,2811,8,16,8,0,1,0,0,0,1,2,39303
